,name,url,year,text,cast,genre,director
503,Saraswati,https://www.imdb.com/title/tt8283040/?ref_=sr_t_504,1995,missing,"'gauri malla', 'shiv shrestha'",drama,shambhupradhan
504,Afno Ghar Afno Manche,https://www.imdb.com/title/tt0303610/?ref_=sr_t_505,2001,missing,"'shree krishna shrestha', 'melina manandhar'",,narayanpuri
505,Dhukdhuki,https://www.imdb.com/title/tt0384914/?ref_=sr_t_506,2000,missing,"'rajesh hamal', 'dinesh d.c.'",romance,dayaramdahal
506,Premleela,https://www.imdb.com/title/tt9631938/?ref_=sr_t_507,2019,missing,"'dipshikha khadka', 'mausam khadka'",romance,janakpandey
507,Dukha,https://www.imdb.com/title/tt6620274/?ref_=sr_t_508,2003,missing,"'hemanta budhathoki', 'rajesh hamal'",drama,deepakshrestha
508,Bahaab,https://www.imdb.com/title/tt16121280/?ref_=sr_t_509,2023,"Sandhya is young passionate girl, with dreams and goals in her life who wants to be independent after college, but her parents wants her to get married and settle down.","'surakshya panta', 'kamal mani nepal'",family,pramodkandel
509,Himmatwali,https://www.imdb.com/title/tt7243896/?ref_=sr_t_510,2014,missing,"'teja ayyar', 'puskar bhatta'",drama,rekhathapa
510,Happy Days,https://www.imdb.com/title/tt10304250/?ref_=sr_t_511,2018,"A guy is desperate to go to London to settle his life, and when he finally gets there, he starts to fall in love with a girl.","'sanjay gupta', 'ritesh chams'","action, drama, romance",milanchams
511,Ghampani,https://www.imdb.com/title/tt6759476/?ref_=sr_t_512,2017,"Tara and Furba from different caste start to fall in love, to succeed their marriage they have to run away from their family.","'dayahang rai', 'keki adhikari'","drama, romance",dipendralama
512,Visa Girl,https://www.imdb.com/title/tt2438106/?ref_=sr_t_513,2012,"A story of the freewheeling passion of youth set in modern day Nepal. It captures the candid journey of love, dedication, kindness, creativity and compassion of four strangers, all geared to actualize their due dreams. As they near achieving their ultimate target, they no longer think about the challenges of every day obstacles but push their selves to break free from the shackles of their limitations and in a process touch the souls of many others.","'reema bishwokarma', 'reecha sharma'",drama,prachandamanshrestha
513,December Falls,https://www.imdb.com/title/tt28755217/?ref_=sr_t_514,2022,"A suspense story of a nurse, who struggles for case and love.",'kedar bhusal',thriller,pravinjha
514,Suruwaat: Euta Naya Jiwan,https://www.imdb.com/title/tt3208986/?ref_=sr_t_515,2012,missing,"'bhuwan ranpal', 'revica shankar'",drama,santoshramdambudhakhaling
515,Melong,https://www.imdb.com/title/tt0385088/?ref_=sr_t_516,2002,missing,'seshi ten tagudh',,seshitentagudh
516,A Year of Cold,https://www.imdb.com/title/tt15386546/?ref_=sr_t_517,missing,missing,'see preliminary cast',drama,seecompanycontactinformation
517,Insaf,https://www.imdb.com/title/tt31721781/?ref_=sr_t_518,2007,missing,"'bikrant basnet', 'jay kishan basnet'",drama,shovitbasnet
518,Utsav,https://www.imdb.com/title/tt6634928/?ref_=sr_t_519,2014,Singers original songs get stolen so his friends try to credit him.,"'saugat malla', 'sanjog koirala'",drama,kumarbhattarai
519,Costakis: The Collector,https://www.imdb.com/title/tt31014638/?ref_=sr_t_520,1983,"One public housing flat in Moscow stood out above all others: the home of George Costakis, the foremost collector of early 20th century Russian avant-garde art. Its walls were crowded with banned and forgotten works by artists such as Malevich, Tatlin, Kandinsky, Chagall, Lissitzky, Rodchenko, and Kliun; public figures such as Edward Kennedy, Stravinsky, and Alfred Barr visited. Barrie Gavin met the collector in 1982 at his home in Athens. Costakis, a Greek born in Russia, passionately shares his story and those of the great Russian avant-garde artists. Their works are his legacy - without him, they would not have survived the political upheavals in Russia.",'lyndon brook',documentary,barriegavin
520,Adhikar,https://www.imdb.com/title/tt8500898/?ref_=sr_t_521,1993,missing,"'rajesh hamal', 'kristi mainali'",drama,prakashthapa
521,Thuldai,https://www.imdb.com/title/tt0299180/?ref_=sr_t_522,1999,A story of a normal village boy whose mother dies and brother gets lost in the city.,"'dayaram dahal', 'laxmi giri'","action, comedy",dayaramdahal
522,BabuSaheb,https://www.imdb.com/title/tt0313240/?ref_=sr_t_523,2002,missing,"'bhuwan k.c.', 'karishma manandhar'",,rameshbudathoki
523,Riingata,https://www.imdb.com/title/tt5178620/?ref_=sr_t_524,2015,"Set in Northern Nepal, during the climax of the civil war that consumed thousands of lives and caused an unprecedented loss and damage to property,","'abhilash acharya', 'sher bhadur lama'","documentary, drama",nischalpoudyal
524,Wound of Panchayat,https://www.imdb.com/title/tt15378088/?ref_=sr_t_525,2009,"In the era of the autocratic Panchayat system, a military officer forced 2500 people to be displaced in an inhuman manner. The film explores an incident in black history.",'purushottam lamsal',documentary,lawapyakurel
525,Aavash,https://www.imdb.com/title/tt6450916/?ref_=sr_t_526,2015,"A man after heavy depressing breakup he starts to fall for two girls, he has to choose among them but who'll it choose between them? .","'samyam puri', 'ashma d.c.'","drama, romance",surendrapoudel
526,Love Is Life,https://www.imdb.com/title/tt9042328/?ref_=sr_t_527,2013,missing,'aayush rijal',drama,loknathgautam
527,Durgamandu,https://www.imdb.com/title/tt8747152/?ref_=sr_t_528,2017,missing,'madhab raj kharel',documentary,madhabrajkharel
528,Maan,https://www.imdb.com/title/tt0314341/?ref_=sr_t_529,2002,missing,'shovit basnet',,shovitbasnet
529,Kusume Rumal 2,https://www.imdb.com/title/tt2007973/?ref_=sr_t_530,2010,missing,"'shyamal prasad', 'shyam aryal'","drama, romance",nirakpoudel
530,Mission Paisa,https://www.imdb.com/title/tt1977865/?ref_=sr_t_531,2009,All the character make a mission called Mission Paisa and take a revenge on everyone who sent them to prison.,"'nikhil upreti', 'suraj rd'","action, animation, crime",simoshsunuwar
531,Mero Paisa Khoi,https://www.imdb.com/title/tt7889260/?ref_=sr_t_532,2017,missing,"'chhulthim dolma gurung', 'saugat malla'","comedy, drama",roserana
